timestamp,rssi,label
1755520197,-44,no_motion
1755520198,-45,no_motion
1755520204,-58,no_motion
1755520205,-48,no_motion
1755520206,-45,no_motion
1755520207,-51,no_motion
1755520208,-46,no_motion
1755520214,-42,no_motion
1755520215,-48,no_motion
1755520216,-54,no_motion
1755520217,-54,no_motion
1755520218,-50,no_motion
1755520224,-41,no_motion
1755520225,-39,no_motion
1755520226,-39,no_motion
1755520227,-50,no_motion
1755520228,-42,no_motion
1755520234,-39,no_motion
1755520235,-46,no_motion
1755520236,-46,no_motion
1755520237,-46,no_motion
1755520238,-46,no_motion
1755520244,-42,no_motion
1755520245,-39,no_motion
1755520247,-45,no_motion
1755520248,-47,no_motion
1755520249,-45,no_motion
1755520254,-39,no_motion
1755520255,-46,no_motion
1755520256,-46,no_motion
1755520257,-44,no_motion
1755520258,-38,no_motion
1755520264,-46,no_motion
1755520265,-50,no_motion
1755520266,-46,no_motion
1755520267,-47,no_motion
1755520268,-47,no_motion
1755520274,-47,no_motion
1755520276,-44,no_motion
1755520277,-39,no_motion
1755520278,-43,no_motion
1755520284,-47,no_motion
1755520289,-47,no_motion
1755520290,-39,no_motion
1755520292,-44,no_motion
1755520297,-51,no_motion
1755520298,-46,no_motion
1755520299,-39,no_motion
1755520300,-44,no_motion
1755520301,-49,no_motion
1755520307,-43,no_motion
1755520308,-49,no_motion
1755520309,-43,no_motion
1755520310,-39,no_motion
1755520311,-45,no_motion
1755520317,-49,no_motion
1755520318,-49,no_motion
1755520319,-49,no_motion
1755520320,-45,no_motion
1755520321,-39,no_motion
1755520327,-43,no_motion
1755520328,-49,no_motion
1755520329,-44,no_motion
1755520330,-49,no_motion
1755520331,-43,no_motion
1755520337,-39,no_motion
1755520338,-46,no_motion
1755520340,-39,no_motion
1755520341,-43,no_motion
1755520342,-39,no_motion
1755520348,-46,no_motion
1755520349,-49,no_motion
1755520350,-49,no_motion
1755520356,-39,no_motion
1755520357,-47,no_motion
1755520358,-50,no_motion
1755520359,-47,no_motion
1755520360,-51,no_motion
1755520366,-47,no_motion
1755520367,-40,no_motion
1755520368,-44,no_motion
1755520374,-51,no_motion
1755520375,-44,no_motion
1755520376,-48,no_motion
1755520377,-48,no_motion
1755520378,-39,no_motion
1755520384,-46,no_motion
1755520385,-49,no_motion
1755520386,-46,no_motion
1755520387,-46,no_motion
1755520388,-46,no_motion
1755520394,-39,no_motion
1755520395,-45,no_motion
1755520396,-46,no_motion
1755520397,-48,no_motion
1755520398,-39,no_motion
1755520404,-46,no_motion
1755520405,-39,no_motion
1755520406,-44,no_motion
1755520407,-39,no_motion
1755520408,-46,no_motion
1755520414,-48,no_motion
1755520415,-44,no_motion
1755520416,-39,no_motion
1755520422,-39,no_motion
1755520423,-38,no_motion
1755520424,-42,no_motion
1755520425,-42,no_motion
1755520426,-46,no_motion
1755520432,-46,no_motion
